isolate,id,accession
mel-20-TD-3,Colorado_2020_PQ624841,PQ624841
mel-20-TD-3,Colorado_2020_PQ624842,PQ624842
sim-20-TD-4,Colorado_2020_PQ624843,PQ624843
sim-20-TD-4,Colorado_2020_PQ624844,PQ624844
mel-21-MDS-9,Colorado_2021_PQ624845,PQ624845
500-F-11,Colorado_2023_PQ624846,PQ624846
500-F-21,Colorado_2023_PQ624847,PQ624847
500-F-41,Colorado_2023_PQ624848,PQ624848
500-F-41,Colorado_2023_PQ624849,PQ624849
500-F-67,Colorado_2023_PQ624850,PQ624850
500-M-16,Colorado_2023_PQ624851,PQ624851
500-M-17,Colorado_2023_PQ624852,PQ624852
500-M-54,Colorado_2023_PQ624853,PQ624853
500-M-57,Colorado_2023_PQ624854,PQ624854
500-M-60,Colorado_2023_PQ624855,PQ624855
500-M-60,Colorado_2023_PQ624856,PQ624856
500-M-61-2,Colorado_2023_PQ624857,PQ624857
500-M-61,Colorado_2023_PQ624858,PQ624858
500-M-65-2,Colorado_2023_PQ624859,PQ624859
500-M-65,Colorado_2023_PQ624860,PQ624860
500-M-71-2,Colorado_2023_PQ624861,PQ624861
500-M-83,Colorado_2023_PQ624862,PQ624862
500-M-84,Colorado_2023_PQ624863,PQ624863
500-M-F10,Colorado_2023_PQ624864,PQ624864
500-M-F11,Colorado_2023_PQ624865,PQ624865
500-M-G2,Colorado_2023_PQ624866,PQ624866
1020-A7,Colorado_2023_PQ624867,PQ624867
1020-A7,Colorado_2023_PQ624868,PQ624868
1020-B6,Colorado_2023_PQ624869,PQ624869
1020-C2,Colorado_2023_PQ624870,PQ624870
1020-D1,Colorado_2023_PQ624871,PQ624871
1020-D3,Colorado_2023_PQ624872,PQ624872
1020-F1,Colorado_2023_PQ624873,PQ624873
1020-F6,Colorado_2023_PQ624874,PQ624874
1020-F-31,Colorado_2023_PQ624875,PQ624875
1020-F-36,Colorado_2023_PQ624876,PQ624876
1020-F-40,Colorado_2023_PQ624877,PQ624877
1020-F-40,Colorado_2023_PQ624878,PQ624878
1020-F-44,Colorado_2023_PQ624879,PQ624879
1020-F-0818-D4,Colorado_2023_PQ624880,PQ624880
1020-F-0818-D11,Colorado_2023_PQ624881,PQ624881
1020-G3,Colorado_2023_PQ624882,PQ624882
1020-M-8,Colorado_2023_PQ624883,PQ624883
1020-M-19,Colorado_2023_PQ624884,PQ624884
1020-M-0818-A5,Colorado_2023_PQ624885,PQ624885
1020-M-0818-A7,Colorado_2023_PQ624886,PQ624886
1020-M-0818-A10,Colorado_2023_PQ624887,PQ624887
1428-F-8,Colorado_2023_PQ624888,PQ624888
1428-F-21,Colorado_2023_PQ624889,PQ624889
1428-M-3,Colorado_2023_PQ624890,PQ624890
1428-M-3,Colorado_2023_PQ624891,PQ624891
1428-M-4,Colorado_2023_PQ624892,PQ624892
1428-M-6,Colorado_2023_PQ624893,PQ624893
1428-M-21,Colorado_2023_PQ624894,PQ624894
1428-M-42,Colorado_2023_PQ624895,PQ624895
Adobe-B4,Colorado_2023_PQ624896,PQ624896
Adobe-B6,Colorado_2023_PQ624897,PQ624897
Adobe-B8,Colorado_2023_PQ624898,PQ624898
Adobe-C2,Colorado_2023_PQ624899,PQ624899
Briarwood-D9,Colorado_2023_PQ624900,PQ624900
CVID-0825-B1,Colorado_2023_PQ624901,PQ624901
CVID-0825-C10,Colorado_2023_PQ624902,PQ624902
CVID-0911-F4,Colorado_2023_PQ624903,PQ624903
CVID-1006-G6,Colorado_2023_PQ624904,PQ624904
CVID-1006-G7,Colorado_2023_PQ624905,PQ624905
CVID-1006-H2,Colorado_2023_PQ624906,PQ624906
CVID-1006-H3,Colorado_2023_PQ624907,PQ624907
James-A4,Colorado_2023_PQ624908,PQ624908
James-A5,Colorado_2023_PQ624909,PQ624909
ME-F-1,Maine_2023_PQ624910,PQ624910
ME-F-2,Maine_2023_PQ624911,PQ624911
ME-F-3,Maine_2023_PQ624912,PQ624912
ME-F-9,Maine_2023_PQ624913,PQ624913
ME-M-1,Maine_2023_PQ624914,PQ624914
ME-M-2,Maine_2023_PQ624915,PQ624915
ME-M-4,Maine_2023_PQ624916,PQ624916
ME-M-6,Maine_2023_PQ624917,PQ624917
ME-M-7,Maine_2023_PQ624918,PQ624918
ME-M-7,Maine_2023_PQ624919,PQ624919
ME-M-8,Maine_2023_PQ624920,PQ624920
ME-M-8,Maine_2023_PQ624921,PQ624921
ME-M-10,Maine_2023_PQ624922,PQ624922
ME-M-11,Maine_2023_PQ624923,PQ624923
ME-M-14,Maine_2023_PQ624924,PQ624924
ME-M-17,Maine_2023_PQ624925,PQ624925
ME-M-18,Maine_2023_PQ624926,PQ624926
ME-M-19,Maine_2023_PQ624927,PQ624927
ME-M-20,Maine_2023_PQ624928,PQ624928
Myrtle-D5,Colorado_2023_PQ624929,PQ624929
Myrtle-D11,Colorado_2023_PQ624930,PQ624930
Myrtle-E9,Colorado_2023_PQ624931,PQ624931
OH-M-5,Ohio_2023_PQ624932,PQ624932
Peach-8-F7,Unknown_2023_PQ624933,PQ624933
Peach-9-F8,Unknown_2023_PQ624934,PQ624934
Peach-10-F10,Unknown_2023_PQ624935,PQ624935
Peach-13-H7,Unknown_2023_PQ624936,PQ624936
Peach-13-H7,Unknown_2023_PQ624937,PQ624937
Penn-F-1,Pennsylvania_2023_PQ624938,PQ624938
Penn-F-2,Pennsylvania_2023_PQ624939,PQ624939
Penn-F-3,Pennsylvania_2023_PQ624940,PQ624940
Penn-F-4,Pennsylvania_2023_PQ624941,PQ624941
Penn-F-4,Pennsylvania_2023_PQ624942,PQ624942
Penn-F-9,Pennsylvania_2023_PQ624943,PQ624943
Penn-F-12,Pennsylvania_2023_PQ624944,PQ624944
Penn-M-2,Pennsylvania_2023_PQ624945,PQ624945
Penn-M-2,Pennsylvania_2023_PQ624946,PQ624946
Penn-M-8,Pennsylvania_2023_PQ624947,PQ624947
Penn-M-10,Pennsylvania_2023_PQ624948,PQ624948
Penn-M-11,Pennsylvania_2023_PQ624949,PQ624949
Penn-M-14,Pennsylvania_2023_PQ624950,PQ624950
Penn-M-15,Pennsylvania_2023_PQ624951,PQ624951
ME-M-3,Maine_2023_PQ624952,PQ624952
2008_Australia_MEL216G,Australia_2008_MH384337,MH384337
2008_Australia_MEL193G,Australia_2008_MH384355,MH384355
2008_Australia_MEL191G,Australia_2008_MH384362,MH384362
2008_Australia_MEL163G,Australia_2008_MH384366,MH384366
2008_Australia_MEL187G,Australia_2008_MH384374,MH384374
2008_Australia_MEL195G,Australia_2008_MH384380,MH384380
2017_Colorado,Colorado_2017_MT742162,MT742162
2018_Colorado,Colorado_2018_MT742166,MT742166
2020_Colorado_AG_FoCo20_1,Colorado_2020_OR729065,OR729065
2020_Colorado_TD_FoCo20_1,Colorado_2020_OR729066,OR729066
2020_Colorado_TD_FoCo20_2,Colorado_2020_OR729067,OR729067
2020_Colorado_TD_FoCo20_3,Colorado_2020_OR729068,OR729068
2020_Colorado_TD_FoCo20_5,Colorado_2020_OR729069,OR729069
2020_Colorado_TD_FoCo20_6,Colorado_2020_OR729070,OR729070
2021_Colorado_LK_FoCo21_2,Colorado_2021_OR729071,OR729071
2021_Colorado_LK_FoCo21_6,Colorado_2021_OR729072,OR729072
2021_Colorado_MD_FoCo21_1,Colorado_2021_OR729073,OR729073
2021_Colorado_MD_FoCo21_2,Colorado_2021_OR729074,OR729074
2021_Colorado_MD_FoCo21_3,Colorado_2021_OR729075,OR729075
2021_Colorado_MD_FoCo21_4,Colorado_2021_OR729076,OR729076
2021_Colorado_MD_FoCo21_5,Colorado_2021_OR729077,OR729077
2021_Colorado_MD_FoCo21_6,Colorado_2021_OR729078,OR729078
2021_Colorado_MD_FoCo21_7,Colorado_2021_OR729079,OR729079
2021_Colorado_MD_FoCo21_8,Colorado_2021_OR729080,OR729080
2021_Colorado_MD_FoCo21_9,Colorado_2021_OR729081,OR729081
2021_Colorado_MD_FoCo21_10,Colorado_2021_OR729082,OR729082
2021_Colorado_MD_FoCo21_11,Colorado_2021_OR729083,OR729083
2021_Colorado_MD_FoCo21_12,Colorado_2021_OR729084,OR729084
2021_Colorado_MD_FoCo21_13,Colorado_2021_OR729085,OR729085
2021_Colorado_MD_FoCo21_15,Colorado_2021_OR729086,OR729086
2021_Colorado_MD_FoCo21_16,Colorado_2021_OR729087,OR729087
2021_Colorado_MD_FoCo21_17,Colorado_2021_OR729088,OR729088
2021_Colorado_MD_FoCo21_18,Colorado_2021_OR729089,OR729089
2021_Colorado_MD_FoCo21_19,Colorado_2021_OR729090,OR729090
2021_Colorado_MD_FoCo21_20,Colorado_2021_OR729091,OR729091
2021_Colorado_MD_FoCo21_21,Colorado_2021_OR729092,OR729092
1908_Illinois,Illinois_1908_OR820563,OR820563
1930_Illinois,Illinois_1930_OR820570,OR820570
1919_Minnesota,Minnesota_1919_OR820576,OR820576
1963_Pennsylvania,Pennsylvania_1963_OR820589,OR820589
2000_California,California_2000_OR820597,OR820597
2011_California,California_2011_OR820601,OR820601
2018_Australia_k119_2472,Australia_2018_PV185867,SRX10234776_RNA3
2018_Australia_k119_16819,Australia_2018_PV185869,SRX10234777_RNA3
2018_Australia_k119_15212,Australia_2018_PV185871,SRX10234778_RNA3
2018_Australia_k119_18395,Australia_2018_PV185873,SRX10234779_RNA3
2018_Australia_k119_21494,Australia_2018_PV185875,SRX10234780_RNA3
2018_Australia_k119_17720,Australia_2018_PV185877,SRX10234781_RNA3
2018_Australia_k119_3037,Australia_2018_PV185879,SRX10234782_RNA3
2018_Australia_k119_15592,Australia_2018_PV185882,SRX10234784_RNA3
2018_Australia_k119_4103,Australia_2018_PV185884,SRX10234785_RNA3
2018_Australia_k119_7000,Australia_2018_PV185886,SRX10234786_RNA3
2018_Australia_k119_17804,Australia_2018_PV185888,SRX10234787_RNA3
2018_Australia_k119_14538,Australia_2018_PV185890,SRX10234788_RNA3
2018_Australia_k119_15935,Australia_2018_PV185892,SRX10234789_RNA3
2018_Australia_k119_14665,Australia_2018_PV185894,SRX10234790_RNA3